Year,Race,Sex,AverageLifeExpectancy,Age-adjusted Death Rate
2015,All Races,Both Sexes,78.9,733.1
2014,All Races,Both Sexes,78.9,724.6
2013,All Races,Both Sexes,78.8,731.9
2012,All Races,Both Sexes,78.8,732.8
2011,All Races,Both Sexes,78.7,741.3
2010,All Races,Both Sexes,78.7,747.0
2009,All Races,Both Sexes,78.5,749.6
2008,All Races,Both Sexes,78.2,774.9
2007,All Races,Both Sexes,78.1,775.3
2006,All Races,Both Sexes,77.8,791.8
2005,All Races,Both Sexes,77.6,815.0
2004,All Races,Both Sexes,77.5,813.7
2003,All Races,Both Sexes,77.6,843.5
2002,All Races,Both Sexes,77.0,855.9
2001,All Races,Both Sexes,77.0,858.8
2000,All Races,Both Sexes,76.8,869.0
1999,All Races,Both Sexes,76.7,875.6
1998,All Races,Both Sexes,76.7,870.1
1997,All Races,Both Sexes,76.5,877.7
1996,All Races,Both Sexes,76.1,893.7
1995,All Races,Both Sexes,75.8,909.5
1994,All Races,Both Sexes,75.7,913.2
1993,All Races,Both Sexes,75.5,925.8
1992,All Races,Both Sexes,75.8,905.3
1991,All Races,Both Sexes,75.5,921.9
1990,All Races,Both Sexes,75.4,938.0
1989,All Races,Both Sexes,75.1,949.9
1988,All Races,Both Sexes,74.9,975.1
1987,All Races,Both Sexes,74.9,969.6
1986,All Races,Both Sexes,74.7,978.4
1985,All Races,Both Sexes,74.7,987.8
1984,All Races,Both Sexes,74.7,982.1
1983,All Races,Both Sexes,74.6,990.0
1982,All Races,Both Sexes,74.5,984.9
1981,All Races,Both Sexes,74.1,"1,007.0"
1980,All Races,Both Sexes,73.7,"1,038.7"
1979,All Races,Both Sexes,73.9,"1,010.6"
1978,All Races,Both Sexes,73.5,"1,043.7"
1977,All Races,Both Sexes,73.3,"1,051.6"
1976,All Races,Both Sexes,72.9,"1,084.1"
1975,All Races,Both Sexes,72.6,"1,094.4"
1974,All Races,Both Sexes,72.0,"1,151.8"
1973,All Races,Both Sexes,71.4,"1,201.2"
1972,All Races,Both Sexes,71.2,"1,214.8"
1971,All Races,Both Sexes,71.1,"1,213.1"
1970,All Races,Both Sexes,70.8,"1,222.6"
1969,All Races,Both Sexes,70.5,"1,271.8"
1968,All Races,Both Sexes,70.2,"1,304.5"
1967,All Races,Both Sexes,70.5,"1,274.0"
1966,All Races,Both Sexes,70.2,"1,309.0"
1965,All Races,Both Sexes,70.2,"1,306.5"
1964,All Races,Both Sexes,70.2,"1,303.8"
1963,All Races,Both Sexes,69.9,"1,346.3"
1962,All Races,Both Sexes,70.1,"1,323.6"
1961,All Races,Both Sexes,70.2,"1,298.8"
1960,All Races,Both Sexes,69.7,"1,339.2"
1959,All Races,Both Sexes,69.9,"1,317.3"
1958,All Races,Both Sexes,69.6,"1,343.4"
1957,All Races,Both Sexes,69.5,"1,356.7"
1956,All Races,Both Sexes,69.7,"1,333.7"
1955,All Races,Both Sexes,69.6,"1,332.3"
1954,All Races,Both Sexes,69.6,"1,314.8"
1953,All Races,Both Sexes,68.8,"1,385.6"
1952,All Races,Both Sexes,68.6,"1,394.6"
1951,All Races,Both Sexes,68.4,"1,423.5"
1950,All Races,Both Sexes,68.2,"1,446.0"
1949,All Races,Both Sexes,68.0,"1,457.3"
1948,All Races,Both Sexes,67.2,"1,501.7"
1947,All Races,Both Sexes,66.8,"1,532.0"
1946,All Races,Both Sexes,66.7,"1,529.7"
1945,All Races,Both Sexes,65.9,"1,575.4"
1944,All Races,Both Sexes,65.2,"1,618.5"
1943,All Races,Both Sexes,63.3,"1,702.4"
1942,All Races,Both Sexes,66.2,"1,635.8"
1941,All Races,Both Sexes,64.8,"1,694.6"
1940,All Races,Both Sexes,62.9,"1,785.0"
1939,All Races,Both Sexes,63.7,"1,766.9"
1938,All Races,Both Sexes,63.5,"1,764.3"
1937,All Races,Both Sexes,60.0,"1,882.6"
1936,All Races,Both Sexes,58.5,"1,963.7"
1935,All Races,Both Sexes,61.7,"1,860.1"
1934,All Races,Both Sexes,61.1,"1,888.2"
1933,All Races,Both Sexes,63.3,"1,850.1"
1932,All Races,Both Sexes,62.1,"1,897.1"
1931,All Races,Both Sexes,61.1,"1,895.1"
1930,All Races,Both Sexes,59.7,"1,943.8"
1929,All Races,Both Sexes,57.1,"2,081.2"
1928,All Races,Both Sexes,56.8,"2,124.6"
1927,All Races,Both Sexes,60.4,"1,989.5"
1926,All Races,Both Sexes,56.7,"2,146.2"
1925,All Races,Both Sexes,59.0,"2,068.7"
1924,All Races,Both Sexes,59.7,"2,038.0"
1923,All Races,Both Sexes,57.2,"2,141.4"
1922,All Races,Both Sexes,59.6,"2,049.5"
1921,All Races,Both Sexes,60.8,"1,958.2"
1920,All Races,Both Sexes,54.1,"2,147.1"
1919,All Races,Both Sexes,54.7,"2,057.2"
1918,All Races,Both Sexes,39.1,"2,541.6"
1917,All Races,Both Sexes,50.9,"2,275.9"
1916,All Races,Both Sexes,51.7,"2,266.6"
1915,All Races,Both Sexes,54.5,"2,174.8"
1914,All Races,Both Sexes,54.2,"2,149.3"
1913,All Races,Both Sexes,52.5,"2,206.5"
1912,All Races,Both Sexes,53.5,"2,211.7"
1911,All Races,Both Sexes,52.6,"2,245.4"
1910,All Races,Both Sexes,50.0,"2,317.2"
1909,All Races,Both Sexes,52.1,"2,249.2"
1908,All Races,Both Sexes,51.1,"2,298.9"
1907,All Races,Both Sexes,47.6,"2,494.4"
1906,All Races,Both Sexes,48.7,"2,399.0"
1905,All Races,Both Sexes,48.7,"2,423.7"
1904,All Races,Both Sexes,47.6,"2,502.5"
1903,All Races,Both Sexes,50.5,"2,379.0"
1902,All Races,Both Sexes,51.5,"2,301.3"
1901,All Races,Both Sexes,49.1,"2,473.1"
1900,All Races,Both Sexes,47.3,"2,518.0"
