Year,Race,Sex,AverageLifeExpectancy,Age-adjusted Death Rate
2015,All Races,Male,76.5,863.2
2014,All Races,Male,76.5,855.1
2013,All Races,Male,76.4,863.6
2012,All Races,Male,76.4,865.1
2011,All Races,Male,76.3,875.3
2010,All Races,Male,76.2,887.1
2009,All Races,Male,76.0,890.9
2008,All Races,Male,75.6,918.8
2007,All Races,Male,75.5,922.9
2006,All Races,Male,75.2,943.4
2005,All Races,Male,75.0,971.9
2004,All Races,Male,75.0,973.3
2003,All Races,Male,74.5,"1,010.3"
2002,All Races,Male,74.4,"1,030.6"
2001,All Races,Male,74.3,"1,035.3"
2000,All Races,Male,74.3,"1,053.8"
1999,All Races,Male,73.9,"1,067.0"
1998,All Races,Male,73.8,"1,068.9"
1997,All Races,Male,73.6,"1,087.7"
1996,All Races,Male,73.1,"1,115.2"
1995,All Races,Male,72.5,"1,143.6"
1994,All Races,Male,72.4,"1,155.1"
1993,All Races,Male,72.2,"1,177.0"
1992,All Races,Male,72.3,"1,158.0"
1991,All Races,Male,72.0,"1,180.2"
1990,All Races,Male,71.8,"1,202.0"
1989,All Races,Male,71.7,"1,214.2"
1988,All Races,Male,71.4,"1,250.0"
1987,All Races,Male,71.4,"1,245.7"
1986,All Races,Male,71.2,"1,261.5"
1985,All Races,Male,71.1,"1,277.6"
1984,All Races,Male,71.1,"1,271.0"
1983,All Races,Male,71.0,"1,284.4"
1982,All Races,Male,70.8,"1,279.9"
1981,All Races,Male,70.4,"1,308.2"
1980,All Races,Male,70.0,"1,347.6"
1979,All Races,Male,70.0,"1,316.2"
1978,All Races,Male,69.6,"1,358.1"
1977,All Races,Male,69.5,"1,369.3"
1976,All Races,Male,69.1,"1,404.3"
1975,All Races,Male,68.8,"1,417.4"
1974,All Races,Male,68.2,"1,478.5"
1973,All Races,Male,67.6,"1,537.5"
1972,All Races,Male,67.4,"1,551.1"
1971,All Races,Male,67.4,"1,542.5"
1970,All Races,Male,67.1,"1,542.1"
1969,All Races,Male,66.8,"1,601.4"
1968,All Races,Male,66.6,"1,635.2"
1967,All Races,Male,67.0,"1,591.8"
1966,All Races,Male,66.7,"1,624.2"
1965,All Races,Male,66.8,"1,614.3"
1964,All Races,Male,66.8,"1,597.0"
1963,All Races,Male,66.6,"1,644.0"
1962,All Races,Male,66.9,"1,604.4"
1961,All Races,Male,67.1,"1,567.6"
1960,All Races,Male,66.6,"1,609.0"
1959,All Races,Male,66.8,"1,573.4"
1958,All Races,Male,66.6,"1,596.3"
1957,All Races,Male,66.4,"1,606.7"
1956,All Races,Male,66.7,"1,575.5"
1955,All Races,Male,66.7,"1,565.2"
1954,All Races,Male,66.7,"1,540.7"
1953,All Races,Male,66.0,"1,619.0"
1952,All Races,Male,65.8,"1,620.8"
1951,All Races,Male,65.6,"1,651.7"
1950,All Races,Male,65.6,"1,674.2"
1949,All Races,Male,65.2,"1,676.7"
1948,All Races,Male,64.6,"1,720.5"
1947,All Races,Male,64.4,"1,743.0"
1946,All Races,Male,64.4,"1,727.6"
1945,All Races,Male,63.6,"1,791.6"
1944,All Races,Male,63.6,"1,821.6"
1943,All Races,Male,62.4,"1,907.7"
1942,All Races,Male,64.7,"1,835.1"
1941,All Races,Male,63.1,"1,894.3"
1940,All Races,Male,60.8,"1,976.0"
1939,All Races,Male,62.1,"1,937.2"
1938,All Races,Male,61.9,"1,932.4"
1937,All Races,Male,58.0,"2,072.8"
1936,All Races,Male,56.6,"2,148.5"
1935,All Races,Male,59.9,"2,031.2"
1934,All Races,Male,59.3,"2,056.7"
1933,All Races,Male,61.7,"2,002.0"
1932,All Races,Male,61.0,"2,036.4"
1931,All Races,Male,59.4,"2,047.4"
1930,All Races,Male,58.1,"2,088.8"
1929,All Races,Male,55.8,"2,219.7"
1928,All Races,Male,55.6,"2,256.3"
1927,All Races,Male,59.0,"2,113.8"
1926,All Races,Male,55.5,"2,262.2"
1925,All Races,Male,57.6,"2,178.0"
1924,All Races,Male,58.1,"2,146.9"
1923,All Races,Male,56.1,"2,229.5"
1922,All Races,Male,58.4,"2,131.8"
1921,All Races,Male,60.0,"2,025.0"
1920,All Races,Male,53.6,"2,213.2"
1919,All Races,Male,53.5,"2,141.5"
1918,All Races,Male,36.6,"2,740.5"
1917,All Races,Male,48.4,"2,427.8"
1916,All Races,Male,49.6,"2,406.2"
1915,All Races,Male,52.5,"2,302.6"
1914,All Races,Male,52.0,"2,286.1"
1913,All Races,Male,50.3,"2,351.2"
1912,All Races,Male,51.5,"2,352.8"
1911,All Races,Male,50.9,"2,374.5"
1910,All Races,Male,48.4,"2,459.9"
1909,All Races,Male,50.5,"2,385.7"
1908,All Races,Male,49.5,"2,433.4"
1907,All Races,Male,45.6,"2,660.3"
1906,All Races,Male,46.9,"2,553.6"
1905,All Races,Male,47.3,"2,565.5"
1904,All Races,Male,46.2,"2,652.9"
1903,All Races,Male,49.1,"2,513.5"
1902,All Races,Male,49.8,"2,447.9"
1901,All Races,Male,47.6,"2,600.5"
1900,All Races,Male,46.3,"2,630.8"
